Co-crystal,Dataset,year,name1,smiles1,name2,smiles2,Label
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,"1,3-dihydroxynaphthalene",Oc1cc(O)c2ccccc2c1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,ethanolamine,NCCO,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,gamma-cyclodextrine,OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(C(O)C5O)C5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC8C(CO)OC(OC1C(O)C2O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,beta-cyclodextrin,OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC8C(CO)OC(OC1C(O)C2O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,camphor-10-sulfonic acid,CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,a-cyclodextrin,OC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,"1,3-phenylenediamine",Nc1cccc(N)c1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,"3,5-diaminobenzoic acid",Nc1cc(N)cc(C(=O)O)c1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,3-aminophenol,Nc1cccc(O)c1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,5-aminosalicylic acid,Nc1ccc(O)c(C(=O)O)c1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,ascorbic acid,O=C1OC(C(O)CO)C(O)=C1O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,benzenesulfonic acid,O=S(=O)(O)c1ccccc1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,cyanuric acid,O=c1[nH]c(=O)[nH]c(=O)[nH]1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,cysteine,[NH3+]C(CS)C(=O)[O-],0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,ethanedisulfonic acid,O=S(=O)(O)CCS(=O)(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,ethylenediamine,NCCN,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,fructose,OCC1(O)OCC(O)C(O)C1O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,galacturonic acid,O=C(O)C1OC(O)C(O)C(O)C1O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,glucose,OCC1OC(O)C(O)C(O)C1O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,glucuronic acid,O=C(O)C1OC(O)C(O)C(O)C1O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,hexylresorcinol,CCCCCCc1ccc(O)cc1O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,hydroquinone,Oc1ccc(O)cc1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,methanesulfonic acid,CS(=O)(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,methylglucosamine,CNCC(O)C(O)C(O)C(O)CO,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,olivetol,CCCCCc1cc(O)cc(O)c1,0
1,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,orcinol,Cc1cc(O)cc(O)c1,1
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,orotic acid,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,paracetamol,CC(=O)Nc1ccc(O)cc1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,phenol,Oc1ccccc1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,L-phenylalanine,N[C@@H](Cc1ccccc1)C(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,DL-phenylalanine,[NH3+]C(Cc1ccccc1)C(=O)[O-],0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,phloroglucinol,Oc1cc(O)cc(O)c1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,pyridoxine,Cc1ncc(CO)c(CO)c1O,0
1,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,resorcinol,Oc1cccc(O)c1,1
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,sorbitol,OCC(O)C(O)C(O)C(O)CO,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,sulfamide,NS(N)(=O)=O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,piperazine,C1CNCCN1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,lactobionic acid,O=C(O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,L-serine,NC(CO)C(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,alanine,CC(N)C(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,theophylline-7-acetic acid,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,urea,NC(N)=O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,maleic acid,O=C(O)/C=C\C(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,malonic acid,O=C(O)CC(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,L-mandelic acid,O=C(O)[C@@H](O)c1ccccc1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,DL-mandelic acid,O=C(O)C(O)c1ccccc1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,L-malic acid,O=C(O)CC(O)C(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,DL-malic acid,O=C(O)CC(O)C(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,lactic acid,CC(O)C(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,aspartic acid,NC(CC(=O)O)C(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,succinic acid,O=C(O)CCC(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,fumaric acid,O=C(O)/C=C/C(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,saccharin,O=C1NS(=O)(=O)c2ccccc21,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,benzoic acid,O=C(O)c1ccccc1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,theophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,tromethamine,NC(CO)(CO)CO,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,lactose,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,hippuric acid,O=C(O)CNC(=O)c1ccccc1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,glycine,NCC(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,arginine,NC(N)=NCCCC(N)C(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,acetic acid,CC(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,citric acid,O=C(O)CC(O)(CC(=O)O)C(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,nicotinamide,NC(=O)c1cccnc1,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,mannitol,OCC(O)C(O)C(O)C(O)CO,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,lysine,NCCCCC(N)C(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,L-tartaric acid,O=C(O)[C@H](O)[C@@H](O)C(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,DL-tartaric acid,O=C(O)C(O)C(O)C(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,gentisic acid,O=C(O)c1cc(O)ccc1O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,glycolic acid,O=C(O)CO,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,glutamine,NC(=O)CCC(N)C(=O)O,0
0,artemisin,2014,QNGHSU02,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,tyrosine,NC(Cc1ccc(O)cc1)C(=O)O,0
1,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,XUVSIR,COc1ccc(-c2nn3cc(C)nc3s2)cc1,1
1,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,XUVQUB,Cc1cn2nc(C)sc2n1,1
1,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,"4,4-bipyridine",c1cc(-c2ccncc2)ccn1,1
1,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,3-Aminopyridine,Nc1cccnc1,1
1,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,2-Aminopyridine,Nc1ccccn1,1
1,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,"2-amino-4,6-dimethylpyrimidine",Cc1cc(C)nc(N)n1,1
0,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,"3,5-dimethylpyrazole",Cc1cc(C)[nH]n1,0
1,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,"2-amino-3,5-dibromopyridine",Nc1ncc(Br)cc1Br,1
0,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,2-chloropyrimidine,Clc1ccccn1,0
1,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,Isonicotinamide,NC(=O)c1ccncc1,1
1,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,2-amino-5-chloropyridine,Nc1ccc(Cl)cn1,1
1,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,XUVQEL,Cc1cnc(N)s1,1
1,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,"4-chloro-2,6-diaminopyrimidine",Nc1cc(Cl)nc(N)n1,1
0,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,Pyrazole,c1cn[nH]c1,0
1,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,2-aminopyrimidine,Nc1ncccn1,1
0,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,4-iodopyrazole,Ic1cn[nH]c1,0
1,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,2-amino-4-hydroxy-6-methylpyrimidine,Cc1cc(=O)[nH]c(N)n1,1
1,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,2-amino-4-chloro-6-methylpyrimidine,Cc1cc(Cl)nc(N)n1,1
0,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,"3,5-dimethyl-4-chloropyrazole",Cc1n[nH]c(C)c1Cl,0
0,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,4-bromopyrazole,Brc1cn[nH]c1,0
0,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,"4-iodo-3,5-dimethylpyrazole",Cc1n[nH]c(C)c1I,0
1,meps,2014,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,3-hydroxypyridine,Oc1cccnc1,1
1,meps,2014,piracetam,NC(=O)CN1CCCC1=O,"3,4-dihydroxybenzoic acid",O=C(O)c1ccc(O)c(O)c1,1
1,meps,2014,piracetam,NC(=O)CN1CCCC1=O,"3,5-dihydroxybenzoic acid",O=C(O)c1cc(O)cc(O)c1,1
1,meps,2014,piracetam,NC(=O)CN1CCCC1=O,Hydroquinone,Oc1ccc(O)cc1,1
1,meps,2014,piracetam,NC(=O)CN1CCCC1=O,Gentisic acid,O=C(O)c1cc(O)ccc1O,1
1,meps,2014,piracetam,NC(=O)CN1CCCC1=O,4-hydroxybenzoic acid,O=C(O)c1ccc(O)cc1,1
0,meps,2014,piracetam,NC(=O)CN1CCCC1=O,Fumaric acid,O=C(O)/C=C/C(=O)O,0
1,meps,2014,piracetam,NC(=O)CN1CCCC1=O,"2,3-dihydroxybenzoic acid",O=C(O)c1cccc(O)c1O,1
0,meps,2014,piracetam,NC(=O)CN1CCCC1=O,Urea,NC(N)=O,0
1,meps,2014,piracetam,NC(=O)CN1CCCC1=O,"2,4-dihydroxybenzoic acid",O=C(O)c1ccc(O)cc1O,1
0,meps,2014,piracetam,NC(=O)CN1CCCC1=O,Succinic acid,O=C(O)CCC(=O)O,0
1,meps,2014,piracetam,NC(=O)CN1CCCC1=O,S-mandelic acid,O=C(O)C(O)c1ccccc1,1
